,0
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,0
531,1
532,1
533,1
534,0
535,1
536,0
